material_id,formula,mp_e_above_hull,alex_e_above_hull,abs_delta_ehull,mp_stable_exact,alex_stable_exact,discordant,quadrant,near_hull_10meV,near_hull_25meV,near_hull_50meV,ALIGNN-FF_rank,ALIGNN-FF_rank_percentile,CHGNet_rank,CHGNet_rank_percentile,MACE-MP_rank,MACE-MP_rank_percentile
mp-1001022,Cu2PPd2,0.004432295818181,0.0044318350000001,4.608181808996373e-07,False,False,False,both_unstable,True,True,True,241,0.8397212543554007,191,0.6655052264808362,190,0.662020905923345
mp-1001024,Y2MgS4,0.003039925714293,0.0014960495238049,0.0015438761904881,False,False,False,both_unstable,True,True,True,110,0.3832752613240418,124,0.43205574912891986,130,0.4529616724738676
mp-1001034,Mg(InSe2)2,0.035784261785716,0.0357842617857149,1.096345236817342e-15,False,False,False,both_unstable,False,False,True,248,0.8641114982578397,249,0.867595818815331,258,0.8989547038327527
mp-1001080,H2CO3,0.004742672083333,0.005291064583333,0.0005483924999999997,False,False,False,both_unstable,True,True,True,73,0.25435540069686413,122,0.4250871080139373,131,0.4564459930313589
mp-10014,TaS2,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,40,0.13937282229965156,39,0.13588850174216027,52,0.18118466898954705
mp-10015,SiOs,0.027129491249997,0.0394055745833323,0.012276083333335297,False,False,False,both_unstable,False,False,True,22,0.07665505226480836,26,0.09059233449477352,23,0.08013937282229965
mp-1001571,CaFeO3,0.0521472515,0.0521472515000001,1.0408340855860843e-16,False,False,False,both_unstable,False,False,False,96,0.3344947735191638,92,0.3205574912891986,129,0.44947735191637633
mp-1001581,LiC6,0.000490129480517,0.0,0.000490129480517,False,True,True,Alex_stable_only,True,True,True,14,0.04878048780487805,35,0.12195121951219512,34,0.11846689895470383
mp-1001600,HfB12,0.056437771153838,0.0415730637179478,0.014864707435890204,False,False,False,both_unstable,False,False,True,32,0.11149825783972125,97,0.33797909407665505,78,0.27177700348432055
mp-1001603,LuNiC2,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,67,0.23344947735191637,76,0.26480836236933797,60,0.20905923344947736
mp-1001604,LuTlS2,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,163,0.5679442508710801,182,0.6341463414634146,189,0.6585365853658537
mp-1001606,LuFeC2,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,29,0.10104529616724739,36,0.1254355400696864,37,0.1289198606271777
mp-1001611,LuTlSe2,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,201,0.7003484320557491,192,0.6689895470383276,203,0.7073170731707317
mp-1001612,LuSi,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,133,0.4634146341463415,170,0.5923344947735192,163,0.5679442508710801
mp-1001613,LuGa,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,252,0.8780487804878049,236,0.8222996515679443,228,0.794425087108014
mp-1001614,LuCoC2,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,33,0.11498257839721254,52,0.18118466898954705,47,0.16376306620209058
mp-1001615,LiZrSe2,0.0,2.8549999999683e-06,2.8549999999683e-06,True,False,True,MP_stable_only,True,True,True,132,0.45993031358885017,157,0.5470383275261324,165,0.5749128919860628
mp-1001780,LuCuS2,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,169,0.5888501742160279,165,0.5749128919860628,172,0.5993031358885017
mp-1001783,LiSnS2,0.061395118906249,0.0732138028125,0.011818683906251008,False,False,False,both_unstable,False,False,False,197,0.686411149825784,223,0.7770034843205574,237,0.8257839721254355
mp-1001784,LiTiS2,0.003245874999999,0.0180941050000003,0.014848230000001301,False,False,False,both_unstable,True,True,True,113,0.39372822299651566,145,0.5052264808362369,151,0.5261324041811847
mp-1001786,LiScS2,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,116,0.40418118466898956,147,0.5121951219512195,154,0.5365853658536586
mp-1001787,LiRh3,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,160,0.5574912891986062,148,0.5156794425087108,140,0.4878048780487805
mp-1001833,InBi,0.0,0.0259400624999996,0.0259400624999996,True,False,True,MP_stable_only,True,True,True,274,0.9547038327526133,271,0.9442508710801394,269,0.9372822299651568
mp-1001835,LiB,0.0,0.0063941525000004,0.0063941525000004,True,False,True,MP_stable_only,True,True,True,145,0.5052264808362369,233,0.8118466898954704,222,0.7735191637630662
mp-1001836,MnGa,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,194,0.6759581881533101,144,0.5017421602787456,137,0.47735191637630664
mp-1002063,SnS2,0.076658843333333,0.0650476666666675,0.011611176666665501,False,False,False,both_unstable,False,False,False,210,0.7317073170731707,213,0.7421602787456446,229,0.7979094076655052
mp-10021,Ga,0.083391994999999,0.0158072325000002,0.0675847624999988,False,False,False,both_unstable,False,True,True,284,0.9895470383275261,276,0.9616724738675958,275,0.9581881533101045
mp-1002104,LaPt,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,115,0.40069686411149824,121,0.42160278745644597,111,0.3867595818815331
mp-1002106,HfPd,0.103404907499999,0.0609042625000011,0.04250064499999791,False,False,False,both_unstable,False,False,False,50,0.17421602787456447,33,0.11498257839721254,33,0.11498257839721254
mp-1002107,LaRh,0.0,0.0289058224999996,0.0289058224999996,True,False,True,MP_stable_only,True,True,True,120,0.4181184668989547,111,0.3867595818815331,95,0.3310104529616725
mp-1002109,VCo,0.0,0.0979241560416657,0.0979241560416657,True,False,True,MP_stable_only,True,True,True,64,0.2229965156794425,34,0.11846689895470383,36,0.1254355400696864
mp-1002114,VH,0.013288825,0.0311609424999996,0.0178721174999996,False,False,False,both_unstable,False,True,True,95,0.3310104529616725,125,0.4355400696864111,125,0.4355400696864111
mp-1002115,LaPd,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,157,0.5470383275261324,159,0.554006968641115,155,0.5400696864111498
mp-1002122,HfIr,0.042428189999998,0.0905904487499977,0.04816225874999971,False,False,False,both_unstable,False,False,True,4,0.013937282229965157,2,0.006968641114982578,3,0.010452961672473868
mp-1002123,KZrS2,0.0,0.0107850187499991,0.0107850187499991,True,False,True,MP_stable_only,True,True,True,127,0.4425087108013937,141,0.4912891986062718,147,0.5121951219512195
mp-1002133,LaGa,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,233,0.8118466898954704,219,0.7630662020905923,214,0.7456445993031359
mp-1002136,LaAu,0.0,0.0,0.0,True,True,False,both_stable,True,True,True,190,0.662020905923345,199,0.6933797909407665,196,0.6829268292682927
mp-10025,SiRu2,0.036985155833331,0.0277274466666668,0.0092577091666642,False,False,False,both_unstable,False,False,True,37,0.1289198606271777,31,0.10801393728222997,30,0.10452961672473868
